first_name,second_name,club_name,position,cost
Caoimhin,Kelleher,Liverpool,Goalkeeper,4.5
Ibrahima,Konaté,Liverpool,Defender,5.0
Luis,Díaz,Liverpool,Midfielder,7.5
Mohamed,Salah,Liverpool,Midfielder,12.5
Alexis,Mac Allister,Liverpool,Midfielder,6.5
James,McConnell,Liverpool,Midfielder,4.5
Tyler,Morton,Liverpool,Midfielder,4.5
Nathaniel,Phillips,Liverpool,Defender,4.0
Jarell,Quansah,Liverpool,Defender,4.5
Rhys,Williams,Liverpool,Defender,4.0
Andrew,Robertson,Liverpool,Defender,6.0
Dominik,Szoboszlai,Liverpool,Midfielder,6.5
Konstantinos,Tsimikas,Liverpool,Defender,5.0
Sepp,van den Berg,Liverpool,Defender,4.0
Virgil,van Dijk,Liverpool,Defender,6.0
Manuel,Akanji,Man City,Defender,5.5
Nathan,Aké,Man City,Defender,5.5
Bernardo,Veiga de Carvalho e Silva,Man City,Midfielder,6.5
Oscar,Bobb,Man City,Midfielder,5.0
Scott,Carson,Man City,Goalkeeper,4.0
Kevin,De Bruyne,Man City,Midfielder,9.5
Jérémy,Doku,Man City,Midfielder,6.5
Ederson,Santana de Moraes,Man City,Goalkeeper,5.5
Phil,Foden,Man City,Midfielder,9.5
Jack,Grealish,Man City,Midfielder,6.5
Joško,Gvardiol,Man City,Defender,6.0
Erling,Haaland,Man City,Forward,15.0
Julián,Álvarez,Man City,Forward,7.0
João,Cavaco Cancelo,Man City,Defender,5.5
Mateo,Kovačić,Man City,Midfielder,5.5
Rico,Lewis,Man City,Defender,4.5
Matheus Luiz,Nunes,Man City,Midfielder,5.0
James,McAtee,Man City,Midfielder,5.0
Stefan,Ortega Moreno,Man City,Goalkeeper,5.5
Kalvin,Phillips,Man City,Midfielder,5.0
Rodrigo 'Rodri',Hernandez,Man City,Midfielder,6.5
Rúben,Gato Alves Dias,Man City,Defender,5.5
John,Stones,Man City,Defender,5.5
Kyle,Walker,Man City,Defender,5.5
Sávio 'Savinho',Moreira de Oliveira,Man City,Midfielder,6.5
Amad,Diallo,Man Utd,Midfielder,5.0
Antony Matheus,dos Santos,Man Utd,Midfielder,6.0
Bruno,Borges Fernandes,Man Utd,Midfielder,8.5
